text,blanks
"Alcoholic games of Clue&#194;&reg; lead to ______.",1
"Alcoholic games of Clue&reg; lead to ______.",1
"At the last PAX, Paul and Storm had ______ thrown at them during ""Opening Band"".",1
"Don't slow down in East Cleveland or ______.",1
"Drunken games of Pretend You're Xyzzy lead to ______ and ______.",2
"Who dunnit? ______ with ______ in ______.",3
"______ has the ""mount"" keyword.",1
"______ is the name of my ______ cover band.",2
"______ with ______ in ______.",3
______.tumblr.com,1
