text,blanks
"Actually coming inside ______.",1
"After being a furry for so long, I can never see ______ without getting a little aroused.",1
"At first I couldn't understand ______, but now it's my biggest kink.",1
"Did you hear about the guy that smuggled ______ into the hotel?",1
"Don't knock ______ until you've tried it.",1
"Everyone on this site has such strong opinions about ______.",1
"Everyone really just goes to the cons for ______.",1
"Everyone thinks that because I'm a furry, I'm into ______. Unfortunately, they're right.",1
"Everyone thinks they're so great, but the only thing they're good at drawing is ______.",1
"Excuse you, I'm a were-______.",1
"Fuck ______, get ______.",2
"HELLO FURRIEND, HOWL ARE YOU DOING? ______",1
"Hey, you guys wanna come back to my place? I've got ______ and ______.",2
"I also take ______ as payment for commissions.",1
"I can't believe I spent most of my paycheck on ______.",1
"I can't wait to meet up with my internet friends for ______.",1
"I didn't believe the rumors about ______, until I saw the videos.",1
"I don't know how we got on the subject of dragon cocks, but it probably started with ______.",1
"I don't think my parents will ever accept that the real me is ______.",1
"I knew I had a problem when I had to sell ______ to pay for ______.",2
"I knew I needed to leave the fandom when I realized I was ______.",1
"I knew my boyfriend was a keeper when he said he'd try ______, just for me.",1
"I never felt more accomplished than when I realized I could fit ______ into my ass.",1
"I never thought I'd be comfortable with ______, but now it's pretty much the only thing I masturbate to.",1
"I realized they were a furry when they mentioned ______.",1
"I remember when ______ was just getting started.",1
"I tell everyone I'm not a furry, but I've drawn a lot of ______.",1
"I tell everyone that I make my money off ""illustration,"" when really, I just draw ______.",1
"I think having horns would make ______ complicated.",1
"I used to avoid talking about ______, but now it's just a part of normal conversation with my friends.",1
"I would bend over for ______.",1
"I'm about 50% ______.",1
"I'm no longer allowed near ______ after the incident with ______.",2
"I'm not a ""furry,"" I prefer to be called ______.",1
"I'm not even aroused by normal porn anymore, I can only get off to ______ or ______.",2
"I'm not even sad that I devote at least six hours of each day to ______.",1
"I'm only gay for ______.",1
"I'm writing a porn comic about ______ and ______.",2
"I'll roleplay ______, you can be ______.",2
"I've been into ______ since before I hit puberty, I just didn't know what it meant.",1
"I've been waiting all year for ______.",1
"If my parents ever found ______, I'd probably be disowned.",1
"If you like it, then you should put ______ on it.",1
"In my past life, I was ______.",1
"Is it weird that I want to rub my face on ______?",1
"It all started with ______.",1
"It is my dream to be covered with ______.",1
"It never fails to liven up the workplace when you ask your coworkers if they'd rather have sex with ______ or ______.",2
"It's a little worrying that I have to compare the size of ______ to beverage containers.",1
"It's difficult to explain to friends and family why I know so much about ______.",1
"It's just that much creepier when 40-year-old men are into ______.",1
"It's not bestiality, it's ______.",1
"It's really hard not to laugh at ______.",1
"Jizzing all over ______.",1
"Long story short, I ended up with ______ in my ass.",1
"Lying about having ______ to get donations, which you spend on ______.",2
"Most cats are ______.",1
"My girlfriend won't let me do ______.",1
"My landlord had a lot of uncomfortable questions for me when when he found ______ in my bedroom while I was at work.",1
"My next fursuit will have ______.",1
"My Original Character's name is ______.",1
"My original species combines ______ and ______. It's called ______.",3
"My secret tumblr account where I post nothing but ______.",1
"No, look, you don't understand. I REALLY like ______.",1
"Nobody believes me when I tell that one story about walking in on ______.",1
"Oh, you're an artist? Could you draw ______ for me?",1
"Okay, ______? Pretty much the cutest thing ever.",1
"Once I started roleplaying ______, it was all downhill from there.",1
"Only my internet friends know that I fantasize about ______.",1
"Personals ad: Seeking a female who doesn't mind ______, might also be willing to try a male if they're ______.",2
"Realizing, too late, the implications of your interest in ______ as a child.",1
"Suck my ______.",1
"Taking pride in one's collection of ______.",1
"The most pleasant surprise I've had this year. ______",1
"The most recent item in my search history. ______",1
"The panel I'm looking forward to most at AC this year is... ______",1
"The real reason I got into the fandom? ______.",1
"They're just going to spend all that money on ______.",1
"What are the two worst cards in your hand right now? ______, ______",2
"What wouldn't I fuck? ______",1
"When I thought I couldn't go any lower, I realized I would probably fuck ______.",1
"When no one else is around, sometimes I consider doing things with ______.",1
"While everyone else seems to have a deep, instinctual fear of ______, it just turns me on.",1
"Who knew I'd be able to make a living off of ______?",1
"Whoa, I might fantasize about ______, but I'd never actually go that far in real life.",1
"Would you rather suck ______, or get dicked by ______?",2
"Yeah, I know I have a lot of ______ in my favorites, but I'm just here for the art.",1
"You can try to justify ______ all you want, but you don't have to be ______ to realize it's just plain wrong.",2
"You don't know who ______ is? They're the one that draws ______.",2
"You sometimes wish you'd encounter ______ while all alone, in the woods. With a bottle of lube.",1
"______ are definitely the new huskies.",1
"______ are so goddamn cool.",1
"______ fucking ______. Now that's hot.",2
"______ is a shining example of what those with autism can really do.",1
"______ is my spirit animal.",1
"______ is no substitute for social skills, but it's a start.",1
"______ looks pretty in all the art, but have you seen one in real life?",1
"______ ruined the fandom.",1
"______, by Bad Dragon&trade;.",1
"______. And now I'm bleeding.",1
"______. This is what my life has come to.",1
"______. Yeah, that's a pretty interesting way to die.",1
"______: Horrible tragedy, or sexual opportunity?",1
"______? Oh murr.",1
"______? Oh, yeah, I could get my mouth around that.",1
