text,blanks
"And I thought ______ smelled bad on the outside!",1
"At last, we will reveal ______ to the Jedi. At last, we will have our revenge.",1
"Be careful not to choke on ______.",1
"Congratulations. You are ______!",1
"Do you know the truth about your parents? They were ______.",1
"Fear leads to anger. Anger leads to hate. Hate leads to ______.",1
"He has control over ______ and ______! He's too dangerous to be left alive!",2
"I am altering ______. Pray I don't alter it further.",1
"I am ______, like my father before me.",1
"I don't like ______: it's course, rough, irritating, and it gets everywhere.",1
"i find ______ disturbing.",1
"I have brought peace, freedom, justice, and ______ to my new empire!",1
"I see through the lies of ______. I do not fear ______ as you do.",2
"I'm afraid ______ will be quite operational when your friends arrive.",1
"I'm being torn apart. I want to be free of ______.",1
"I'm one with ______.",1
"I've been ______ a little bit each day since you came back into my life.",1
"I've seen ______ only once before. It didn't scare me enough then. It does now.",1
"If you strike me down, I shall become ______.",1
"In his latest film, Andy Serkis portrays a CGI version of ______.",1
"It's time for ______ to end.",1
"Join me, and together, we can rule ______ as father and son!",1
"Let ______ die. Kill it, if you have to.",1
"Only a Sith deals in ______.",1
"Rebellions are built on ______.",1
"Save the Rebellion! Save ______!",1
"Show me again, the power of ______, and I'll let nothing stand in our way.",1
"So this is how liberty dies: with ______.",1
"That's no moon, that's ______!",1
"The circle is now complete. When I left you, I was but the learner; now I am ______.",1
"The greatest teacher, ______ is.",1
"The soldiers' fates were sealed when ______ appeared at the end of the hallway.",1
"Twice the ______, double the ______.",2
"We're going to win this war not by fighting ______, but by saving ______!",2
"What about the ______ attack on ______?",2
"What did my parents sell me off for?",1
"What is it they've sent us?",1
"Why does everyone want to go back to ______?",1
"You were the chosen one! It was said that you would destroy ______, not join them!",1
"You will never find a more wretched hive of scum and villainy than ______.",1
"______ could only mean one thing: ______.",2
"______ does not make one great.",1
"______ is constantly being underestimated.",1
"______ is the spark that will light the fire that'll burn ______ down!",2
"______ will be with you. Always.",1
"______. It's a trap!",1
"______? A man of your talents?",1
