text,blanks
"Anus ______.",1
"Ass ______.",1
"Ball ______.",1
"Beef ______.",1
"Bitch ______.",1
"Butt ______.",1
"Clit ______.",1
"Clown ______.",1
"Cock ______.",1
"Cooch ______.",1
"Crap ______.",1
"Cum ______.",1
"Cunt ______.",1
"Diaper ______.",1
"Dick ______.",1
"Dildo ______.",1
"Douche ______.",1
"Fanny ______.",1
"Fart ______.",1
"Feces ______.",1
"Fetus ______.",1
"Fuck ______.",1
"Gina ______.",1
"Granny ______.",1
"Ho ______.",1
"Jerk ______.",1
"Jizz ______.",1
"Juice ______.",1
"Meat ______.",1
"Mother ______.",1
"Mouth ______.",1
"Muff ______.",1
"Nipple ______.",1
"Nut ______.",1
"Panty ______.",1
"Pecker ______.",1
"Penis ______.",1
"Piss ______.",1
"Poop ______.",1
"Pork ______.",1
"Prick ______.",1
"Pube ______.",1
"Pussy ______.",1
"Queef ______.",1
"Rectum ______.",1
"Retard ______.",1
"Sack ______.",1
"Schlong ______.",1
"Scrotum ______.",1
"Scum ______.",1
"Shit ______.",1
"Sissy ______.",1
"Slut ______.",1
"Snot ______.",1
"Sperm ______.",1
"Tampon ______.",1
"Testicle ______.",1
"Tit ______.",1
"Trash ______.",1
"Twat ______.",1
"Weiner ______.",1
"Wench ______.",1
"Whore ______.",1
