text,blanks
"""You miss 100% of the ______ you don't ______. -Wayne Gretzky"" - Michael Scott",2
"""______ tomorrow, because today is almost over."" - Michael Scott",1
"Abraham Lincoln once said, ""If you are a racist I will attack you with ______."" - Michael Scott",1
"Angela’s cats are so cute you just want to ______ them.",1
"Assistant to the regional ______.",1
"Bears. Beets. ______.",1
"Because of ______, I thought I might die, on beach day.",1
"Break me off a piece of that ______.",1
"If ______ ever wins an Oscar award, I am going to be a very rich dude.",1
"Lord, beer me ______.",1
"No its not ______, it’s Kevin Malone.",1
"Question: What type of bear is best?",1
"When it comes to ______, everyone deserves a 2nd 2nd chance.",1
"______ and ______. Taste like Splenda; gets you drunk like scotch.",2
"______, HARDCORE PARKOUR",1
"______, it takes an advance sense of humor to understand",1
"______, you ignorant slut!",1
"______? Isn't that just a fancy word for ______?",2
