text,blanks
"A mod war about ______ occurred during ______.",2
"A wild ______ appeared! It used ______!",2
"After Blue posted ______ in chat, I never trusted his links again.",1
"After I saw ______, I needed ______.",2
"Best drink ever: One part ______, three parts ______, and a splash of ______.",3
"Clean ALL the ______.",1
"Cunnilingus and psychiatry brought us to ______.",1
"Cunnilungus and psychiatry brought us to ______.",1
"Dogimo would give up ______ to type a six sentence paragraph in a thread.",1
"Domo travelled across ______ to win the prize of ______.",2
"Don't get mad, get ______.",1
"Everything's better with ______.",1
"Fuck you, I'm a ______.",1
"Have fun, don't be ______.",1
"I CAN ______ ACROSS THE ______.",2
"I did ______, like a fucking adult.",1
"I thought being a ______ was the best thing ever, until I became a ______.",2
"I want ______ in my mouflon RIGHT MEOW.",1
"I'm an expert on ______.",1
"I'm more awesome than a T-rex because of ______.",1
"I'm under the ______.",1
"If life gives you ______, make ______.",2
"It's the end of ______ as we know it.",1
"Kill it with ______!",1
"Let's all rock out to the sounds of ______.",1
"Live long and ______.",1
"My ______ is too big!",1
"No one likes me after I posted ______ in the TMI thread.",1
"Roses and her hammer collection defeated an entire squadron of ______.",1
"Simple dog ate and vomited ______.",1
"Stop, drop, and ______.",1
"Take ______, it will last longer.",1
"The first rule of Jade Club is ______.",1
"The forum nearly broke when ______ posted ______ in The Dead Thread.",2
"The hills are alive with ______ of ______.",2
"There were ALOT of ______ doing ______.",2
"There's ______ in my soup.",1
"Think before you ______.",1
"VS: Where the ______ happens!",1
"We need to talk about your whole gallon of ______.",1
"We'll always have ______.",1
"What have you accomplished today? ______",1
"What made you happy today? ______",1
"What mildy annoyed you today? ______",1
"What would you taste like? ______",1
"When I was 25, I won an award for ______.",1
"Who needs a bidet when you have ______?",1
"Why are you frothing with rage? ______",1
"Yaar's mother is ______.",1
"You have my bow. AND MY ______.",1
"______ ALL THE ______.",2
"______ for president!",1
"______ in my pants.",1
"______ is my worst habit.",1
"______ is the only thing that matters.",1
"______ Jesus is the Jesus of ______.",2
"______ makes me uncomfortable.",1
"______ uses ______. It is SUPER EFFECTIVE!",2
"______ was banned from tinychat because of ______.",2
"______? FRY. EYES.",1
