text,blanks
"&ldquo;beware of ______&rdquo;? That’s a kind of passive-aggressive thing for a fortune cookie to say&hellip;",1
"&ldquo;I’m sorry Mrs. Miller, I couldn’t do the assignment. You see I had ______ last night and just didn’t have the time.",1
"&ldquo;Sir, do you know why I pulled you over?&rdquo;",1
"&ldquo;Yeah? Well you mother is ______&rdquo; sounded much better as a come-back in my head.",1
"911 was really annoyed with me because they didn’t consider ______ to be a 'legitimate emergency situation.'",1
"After a committee vote, Fight Club has removed the second ""don’t talk about ______"" rule.",1
"At this year’s Macy Day Parade, there will be a float commemorating ______.",1
"Can you believe they actually have a KickStarter for ______? I mean, I’d buy it, but I’m definitely not funding it.",1
"For future reference, if an interviewer asks you what hobbies are outside of work, don't mention ______.",1
"Hidden in Apple’s Terms & Conditions, there is a clause titled &ldquo;______&rdquo;.",1
"Honey, do you think we can claim ______ as a dependent on our taxes this year?",1
"Houston had Neil Armstrong do a second take when he came out of the space craft and said &ldquo;one small step for man, one large step for ______&rdquo;",1
"I can’t believe someone would actually buy a sex toy called ""______.""",1
"I couldn’t help but click the pop-up add for ______.",1
"I don’t think she realizes there’s ______ visible in her Facebook profile picture.",1
"I was a bit skeptical when my doctor recommended ______ as a treatment for my diabetes.",1
"If Jeopardy ever had a category for ______ I would own that shit!",1
"In HBO’s new hit series, the main character struggles to overcome her past with ______.",1
"Instead of saying &ldquo;excuse me&rdquo; when I bump into someone, I say &ldquo;______&rdquo; to assert my dominance",1
"It’s hard to be taken seriously as a mobster with a name like Frankie &ldquo;______&rdquo; Bamboni.",1
"I’m an open-minded kind of guy, but I just couldn’t continue dating her when I saw her tattoo of ______.",1
"Little known fact; &lsquo;______: For Dummies’ is actually the best-selling book in the series.",1
"My &ldquo;sexy ______&rdquo; Halloween costume didn’t go as well as I’d planned.",1
"My Grandpa, the best man I’ve ever known, cryptic last words were &ldquo;______&rdquo;.",1
"New from the makers of &ldquo;I Can’t Believe it’s Not Butter&rdquo;; &ldquo;I Can’t Believe it’s Not ______&rdquo;",1
"Next week on How It’s Made: ______.",1
"None of the other Sith Lords took Darth ______ very seriously.",1
"On second thought, I probably shouldn’t mention my award for ______ on my resume&hellip;",1
"The cashier looked at me strangely when he saw I was buying ______ and ______ together.",2
"The Cosmo-sex-act-of-the-month: ______. Surprise him with it tonight!",1
"The reason Alaska doesn't have an NFL team is because they couldn't settle on a name. &ldquo;The Alaska ______&rdquo; just didn't have the right ring to it.",1
"This ice cream place down the street from me is famous for their unusual flavors. I know it sounds unconventional, but don’t knock their ______ flavor until you’ve tried it.",1
"When I asked her out she said she couldn’t, then made up some bullshit excuse saying she would be busy with ______ all weekend.",1
"When I die, I want you to give my eulogy. Just please don’t mention that thing about ______.",1
"When I opened my fortune cookie last night I was warned to stay away from ______. I wish I had listened&hellip;",1
"While standing in line for the new iPhone, the guy camped out in front of me passed the time with ______.",1
"Why is Kim Jong-un out of the public eye right now?",1
"Why was Dave kicked out of the knitting circle?",1
"You are dead. The only clue to lead the cops to your murdered is ______ in the pocket of your jeans.",1
"______. There were no survivors.",1
