text,blanks
"An insider has revealed that the secret ingredient in Coca Cola is ______.",1
"At the beginning of my Pok&#233;mon journey, Professor Oak let me choose between Charmander, Squirtle, and ______.",1
"Breaking from what she normally writes about, Taylor Swift's new album features songs about ______.",1
"How do I take out my frustration?",1
"I can't believe I was banned from the mall for ______.",1
"I finally decided to quit the internet when I discovered that /r/______ actually existed.",1
"I really hated ______ at work. So I took care of it with ______.",2
"In hindsight, ______ at a child's birthday party was probably a bad idea.",1
"Not only could Jesus turn water into wine, but he could also turn ______ into ______.",2
"Now that I have ______, I no longer have to worry about ______.",2
"Our story begins with a young boy, his canine companion, and ______.",1
"The murderer was Colonel Mustard in the study with ______.",1
"What goes best on toast?",1
"What's in the box??",1
"What's the best way to describe me?",1
"With the Dragon Balls, I will finally be able to wish for ______.",1
"Without ______, life would be a mistake.",1
"______. I drink that. ______. I spit that. ______. I watch that. But I'm not a rapper.",3
