text,blanks
"Avast, me hearties! Strike your colors and prepare to be boarded! We're here to plunder your ship and take ______.",1
"Come to the Dark Side. We've got ______!",1
"First of May, first of May: ______ starts today.",1
"I don't know exactly how I got sick, but I suspect it had something to do with ______.",1
"I went out on a date last night. A very good-looking person, real hot! But all they talked about was ______.",1
"I'd rather be called a coward and run away, than face ______.",1
"It's all fun and games until someone has to explain what the ______ card means.",1
"Looking at it carefully, I'm still not sure if that's ______ or ______.",2
"My coworker told his son's teacher, ""I don't want any son of mine to be ______ in the school play!""",1
"My job requires me to read and respond to email. ALL the email. Including all the spam about ______!",1
"Nobody seems to understand my religious philosophy at all. Especially the part about ______.",1
"One of the extras on the next Blu-ray and DVD releases will be an in-depth featurette about ______ in the Star Wars universe.",1
"The person who went up against me in a drinking contest ended up ______.",1
"To eliminate my severe headaches, the doctor told me to get more of ______ and much less of ______.",2
"WHO would you do for a Klondike bar?",1
"Why am I going to hell?",1
"Why can't you sleep?",1
"______ and ______, sittin' in a tree, K-I-S-S-I-N-G.",2
"______! Not just for ______ anymore.",2
