text,blanks
"Finally! I beat my ______ addiction!",1
"Hello, neighbor, would you like to hear about the good news of ______?",1
"I just experienced ______. Never again.",1
"Never bring ______ to a ______ fight.",2
"One of my best decisions was ______.",1
"Our secret ingredient for this next cook-off is ______!",1
"Our specials for the evening are ______ and ______!",2
"There is no denying the overwhelming temptation of ______.",1
"We couldn't find ______, so ______ will have to do.",2
"When I looked inside my pocket, I was astonished to find ______.",1
"You'll need lots and lots of lube before you try ______.",1
