text,blanks
"""...But Proffessor Utonium accidentally added an extra ingredient to the concoction - ______.""",1
"""And I would have gotten away with it if it weren't/wasn't for ______!""",1
"""Because I'm a grown-ass man with ______ and I'll do what I want!""",1
"""HI! BILLY MAYS HERE FOR ______!""",1
"""I have ______."" -Dr. Martin Luther King Jr.",1
"""Is this the real life? Is it just fantasy? Caught in a landslide, no escape from ______.""",1
"""We're gonna need a bigger ______.""",1
"""Welcome to Whose Line Is It Anyway, the game show where everything's made up and the points don't matter. That's right, the points are just like ______.""",1
"""You can't handle ______!""",1
"After my recent ordeal at work, my employers have declared today ""______ Awareness Day.""",1
"All I need to complete my Boy Scout sash is the merit badge for ______.",1
"All I want for Christmas is ______.",1
"And in the news today, a group of people showed up outside the Capitol building this morning to protest ______.",1
"Arise, my apprentice. You shall now be known as Darth ______.",1
"I can only enjoy ______ after my spouse is sleeping.",1
"I got the strangest boner from ______.",1
"I keep having sex dreams about ______.",1
"I put ______ on my food just so my wife won't steal any.",1
"I'm so tired of seeing ______ every time I open my bedroom door.",1
"If heaven is full of everything you love, when I die, every day I'll be enjoying ______.",1
"In hindsight, having ______ at a child's birthday party was probably a bad idea.",1
"My next Dungeons and Dragons character will be an expert in/on ______.",1
"NBC's latest short-lived drama was loosely based on ______.",1
"Remember, tomorrow there will be a practical exam on ______. Study hard.",1
"Silly rabbit! ______ is for kids!",1
"Six Flag's newest thrill ride lets you experience ______ at 120 miles per hour.",1
"The fortune teller gazed deeply into her crystal ball and said ""I see ______ in your future!""",1
"The Good, the Bad, ______.",1
"Tony Stark's latest Iron Man suit was designed to assist him in dealing with ______.",1
"Watch Dr. Tran kill his own mother with ______!",1
"What always makes me feel pretty? ______.",1
"What does Ron Jeremy smell like? ______.",1
"What IS the Hokey-Pokey really all about? ______.",1
"What would Jesus do? ______.",1
"When I have an unwanted erection and need to get rid of it, I just think about ______.",1
"When masturbating, the thought of ______ always gets me off.",1
"Why can't I sleep? ______.",1
"Why do I love my future spouse? That's easy. ______.",1
"Yeah, I had to break up with him. He kept using ""______"" as a euphemism for sex.",1
"______ killed ______ in the study with ______.",3
"______ was filmed in front of a live studio audience.",1
"______. A family product.",1
