text,blanks
"""Me: ______.",1
"""______: First World Problem.",1
"... then through the Chamber of ______ and onto Olmec's treasure!",1
"2016 was a bad year for ______.",1
"2016 was a good year for ______.",1
"A recent study has revealed that less than half of Americans can recognize ______.",1
"Aaron Sorkin's new TV show is set in the fast-pace, high-stakes world of ______.",1
"About what topic should I give a TED talk?",1
"According to all available records, ______ has never happened.",1
"According to Education Secretary Betsy DeVos, schools need to be armed to protect students from ______.",1
"After consultation with my Generals and military experts, please be advised that the United States Government will not accept or allow ______.",1
"After the disastrous release of the Galaxy Note 7, Samsung has announced its next phone will feature ______.",1
"After years of railing against Obamacare, Paul Ryan finally had a chance to replace it with ______.",1
"Alabama Republicans would rather vote for ______ than a Democrat.",1
"All Hillary had to do was save us from ______ without being a bitch about it.",1
"All in all, I've done quite well despite ______.",1
"All my therapist's suspicions would be confirmed if she knew I wrote the card ""______.""",1
"All post-apocalyptic young adult novels require ______ and ______.",2
"Alright, democracy had it's chance and failed us. Now I think we should try a government system based on ______.",1
"Also me: ______.""",1
"Among his first actions as president, Donald Trump banned ______ from entering the United States.",1
"Analysts predict that ______ will be the next big trend to sweep America.",1
"And now the next item up for auction: ______. Bidding starts at $1,000.",1
"Anyone who complains about ______ is having a bad night.",1
"Anything is scary when it's accompanied by ______.",1
"Are you really ______? Because that's hot.",1
"As a modern American man, I'm woefully unprepared to handle ______. And I refuse to learn.",1
"At last, the ritual is almost complete. Only one thing remains: ______.",1
"At this point, I have more evidence that ______ exists than I do for God.",1
"At this year's Celebration, Kathleen Kennedy announced the newest film in the classic franchise, ""______: A Star Wars Story.""",1
"Before becoming press secretary, Sean Spicer had a five-year Twitter feud with ______.",1
"Before I release the hostages, I need you to bring me ______ and ______!",2
"Before settling on a police box, the BBC considered disguising the TARDIS as ______.",1
"Before the 2014 Winter Olympics, Russia spent millions of ruples removing ______ from Sochi.",1
"Being gay isn't a choice. It's caused by ______.",1
"Between ______ and ______, I still have high hopes for the future.",2
"Bill Paxton is the only actor to have been killed by a Terminator, a Predator, a Xenomorph, and ______.",1
"Boston Dynamics' latest cutting-edge robot is capable of ______.",1
"Can you believe that Trump has nominated ______ as Secretary of ______!",2
"Come with me and you'll be in a world of ______.",1
"Coming to theaters next year, the highly anticipated sequel: ""The Nightmare Before ______.""",1
"Congratulations, San Francisco, you've ruined ______!",1
"Considering all we lost this year, I'll miss ______ most.",1
"Derren Brown's next TV special is titled ""______."" It is rumored to feature ______.",2
"Despite numerous social and scientific setbacks, I'm still looking forward to a future full of ______.",1
"Disney has forever disowned its controversial film ""Song of ______.""",1
"Don't get mad. Get ______.",1
"Don't let your children grow up to be ______.",1
"Due to a PR sucess, Walmart is now sold out of ______.",1
"Everyone knows there's no such thing as ______.",1
"Everyone lies online. That's why my dating profile says I'm ______.",1
"Evolutionarily speaking, ______ has proven to be an unsuccessful survival strategy.",1
"Fidel Castro died of natural causes despite several CIA assination attempts, including ______.",1
"Finding out that people don't like ______ was the hardest lesson I had to learn as the mayor.",1
"Following the popularity of Shark Week, the Discovery Channel announced they will now have a week each year dedicated to ______.",1
"For a good time, call ______.",1
"Fuck! I can't get health insurance now because apparently ______ is a pre-existing condition!",1
"Fun fact: the Daleks were originally designed to look like ______.",1
"Go directly to ______. Do not pass Go. Do not collect $200.",1
"Good Idea: ______. Bad Idea: ______.",2
"GREETINGS, HUMANS. I AM ______-BOT. EXECUTING PROGRAM.",1
"Have you ever had sex? I have. It felt great. It felt so good when I did it with ______.",1
"Having clearly run out of ideas, next season ABC will premier ""Dancing with ______.""",1
"HBO thought audiences would be able to tolerate scenes with ______ only if they contained nudity.",1
"Help me, ______! You're my only hope.",1
"Here's what to expect for the new year: In: ______. Out: ______.",2
"Hey ladies! I'm into fitness, travel, and ______. Swipe right if you're the same.",1
"How am I planning on taking over the world?",1
"How am I undermining traditional gender roles?",1
"How can you hate ______? It literally means ______.",2
"How did Trump get elected?",1
"How do I stay young?",1
"How do you solve a problem like Maria?",1
"How was I to know there'd be consequences for ______?",1
"Hundreds of years from now, 2016 shall be known as the Year of ______.",1
"I dare you to stick your dick in ______.",1
"I didn't bust my ass to gentrify this town to have it overrun with ______.",1
"I didn't hear you. I was distracted by ______.",1
"I don't care how good the food is, I'm not eating at a restuarant called ______.",1
"I don't care if you have your own shit to deal with! I need your help. I have no idea how to handle ______.",1
"I don't see what everyone has against ______.",1
"I don't see what the big deal is about sharing a bathroom with ______.",1
"I found out the hard way that you can be issued a citation for ______.",1
"I got the results of the test back. I definitely have ______.",1
"I know we all love it, but, just for a minute, can we all admit that there's something inherently problematic with ______.",1
"I need to figure out how to politely talk to my family about ______.",1
"I never thought I'd die by ______, but I always hoped I would.",1
"I never thought I'd literally dance on a grave, but then ______ died.",1
"I never thought I'd say this, but ______ has a point.",1
"I never thought ______ would lead to ______, but in hindsight, it seems so inevitable now",2
"I swear, officer, I've never seen ______ before!",1
"I was shocked to discover my grandfather's involvement with ______.",1
"I wish every day was ______ Day!",1
"I wish ______ was a search term on porn sites.",1
"I would never put ______ in charge of ______.",2
"I would pay good money to see ______.",1
"I'm going to do a one-man show about the most scintillating topic on God's great Earth: ______.",1
"I'm happy seeing my taxes go to a good cause, but no one wants to pay for ______!",1
"I'm just not me without ______.",1
"I'm not marrying anyone who wouldn't be down for ______.",1
"I'm not racist or anything, but white people really are the best at ______.",1
"I'm shocked how many prominent men in our society thought they could get away with ______.",1
"I'm sorry, your Majesty! I didn't realize you're too good for ______.",1
"I'm thinking of going back to school to get my degree in ______.",1
"I'd go bankrupt if ______ involved microtransactions.",1
"I'd never be caught dead with ______.",1
"I'll never forget ______.",1
"I've solved the mystery and I've gathered you all here to announce that one of you is ______.",1
"If anything deserves a high-five, it's ______.",1
"If it wasn't for ______ I never would have spent those 4 months in college.",1
"If only once, it would be nice if Hodor said, ""______.""",1
"If there's one thing I've learned, it's that there's no problem that can't be solved with ______.",1
"If this relationship is going to work out between us, I need to feel free to party with ______ whenever I feel like it.",1
"If you ever go to Vegas, make sure you check out Cirque du Soleil's show ""______.""",1
"If you paid me enough, I'd say that ______ is just as good as ______.",2
"If you see ______, say something.",1
"If you've seen ______, you've seen it all.",1
"In a parallel universe, I made my fortune through ______.",1
"In some cultures, ______ is considered bad luck.",1
"In the game of ______, you win or you die.",1
"In the parallel universe where Hillary won, our biggest concern is ______.",1
"In the United Kingdom, the new Policing and Crime Act has pardoned more than 49,000 individuals who had been convicted of ______.",1
"In Tim Burton's next film, Johnny Depp and Helena Bonham Carter are ______ and ______. Music by Danny Elfman.",2
"Is there anything more heart-warming than ______?",1
"It is said that God makes no mistakes, but I think He was pretty drunk when He made ______.",1
"It might not sound like much, but trust me, ______ is the kinkiest thing I've ever done.",1
"It's all fun and games until someone loses ______.",1
"It's important that all great works of art contain ______ so that it doesn't anger God.",1
"JK Rowling's next Harry Potter spinoff is ""Fantastic Beasts and ______"".",1
"Last night, I got the best sleep I've had in ages. The only thing I remember is dreaming about ______.",1
"Late at night, the only commercials that air are for Girls Gone Wild, penis enlargement pills, and ______.",1
"Little did we know that the Illuminati are secretly in control of ______.",1
"Look, this is all covered in my zeitgeist-defining self-published e-book: ""2017: The Year of ______.""",1
"Love and marriage, love and marriage, Go together like ______ and ______.",2
"Man cannot live on ______ alone.",1
"Maybe a play about ______ was the wrong choice for immersive staging.",1
"Millennials would be able to afford a house if they'd stop spending all their money on ______.",1
"My autobiography has been banned from schools because of the chapter about ______.",1
"My computer is filled with spyware when I opened an email with the subject line ""______.""",1
