text,blanks
"(picture of an ink blot) What do you see?",1
"Cosplay just isn't cosplay if it doesn't involve ______.",1
"How did I lose all my Facebook friends?",1
"I like my coffee how I like my women: ______.",1
"I used to be an adventurer like you, until ______.",1
"I'm getting sick of having to explain ______.",1
"I'm having trouble finding a college allowing me to pursue a degree in ______.",1
"If a pot of gold is on one end of the rainbow, what is on the other?",1
"In Japan, you can buy ______.",1
"In Kingdom Hearts 3, Donald Duck will be replaced by ______.",1
"In space, no one can hear ______.",1
"It turns out you can't ______ on live television.",1
"My senior year, I wrote ""______"" in everybody else's yearbooks.",1
"Sorry Mario, but ______ is in another castle.",1
"The internet is for ______.",1
"Trust me, I'm ______.",1
"WARNING: Choking Hazard: ______. Not safe for children under 3 years.",1
"What did I wish for before blowing out my birthday candles?",1
"What is the next big Kickstarter campaign?",1
"What is the secret ingredient in the meat sauce?",1
"What is your quest?",1
"What mysteries lie beyond Jack Patillo's beard?",1
"What's the worst that could happen?",1
"Why did I get my ass kicked in school?",1
"With great power, comes ______.",1
"You have been banned. Reason: ______.",1
"______, don't try this at home.",1
"______, still a better love story than Twilight.",1
"______. The next big fetish fad on social media.",1
