text,blanks
"All the cool kids smoke weed but I prefer ______.",1
"Anything\'s a dildo if you're brave enough! Even ______!",1
"Apparently it\'s not OK to have ______ at a child\'s birthday party.",1
"At this year\'s bible camp, there will be ______, ______ and ______.",3
"Experience has taught me that ______ and ______ just don't mix.",2
"I am a man reduced to a single instinct: ______.",1
"It\'s not about winning! It\'s about ______!",1
"My sex life is a mix of ______ and ______.",2
"My uncle escaped from jail using only a spoon and ______.",1
"Nothing says ""true love"" quite like ______.",1
"Oh no! ______! My only weakness!",1
"Oh no, this can't be right! The mother\'s ultrasound is showing ______!",1
"One sip of our new cocktail feels just like ______!",1
"Our babies will not be ______.",1
"Our new 12-step program can help you beat your addiction to ______.",1
"Some days the only thing that stops me from killing again is ______.",1
"Taylor Swift\'s newest album is about her breakup with ______.",1
"The only thing that can stop ______ is ______!",2
"The only thing worse than ______ is ______.",2
"To the winner, the spoils! To the loser, ______!",1
"We have nothing to fear but fear itself! Well, that and ______.",1
"______ made me who I am today.",1
"______: the best way to start your day!",1
