text,blanks
"""Watson!"" Holmes exclaimed, ""This man was obviously killed by ______!""",1
"5 years ago, I made the mistake of getting a tattoo of ______ on my chest.",1
"80 of 100 Doctors agree that taking ______ twice a day helps prevent cancer.",1
"84 of 100 doctors agree that ______ twice a day helps prevent cancer.",1
"A fortune teller told me I will live a life filled with ______.",1
"A party is never complete without ______.",1
"A steak and ______ burrito bowl, my favorite at Chipotle.",1
"Abraham Lincoln liked nothing more than a good ______",1
"Ain't nobody got time for ______.",1
"All my rowdy friends are here on ______.",1
"An online quiz told me I am ______.",1
"And behind door #3 is... ______.",1
"And on his farm he had ______, e-i-e-i-o!",1
"And on the 8th day, God was going to create ______, but then He decided, ""Nah, better not.""",1
"And the angel said unto them ______.",1
"Apparently, ______ is in my bedroom.",1
"Arg, Dammit! He put my ______ in Jello again.",1
"As a kid, I never knew girls liked ______.",1
"As a kid, I was afraid ______ was hiding under my bed.",1
"Barack Obama secretly has a collection of ______ figurines.",1
"Because you enjoyed ______, we thought you'd like ______.",2
"Behind every great man is a ______ telling him what to do.",1
"Being ______ is suffering.",1
"Bitches ain't shit but ______ and ______.",2
"Bloody immigrants, coming over here and ______.",1
"Breathe if you hate ______.",1
"By the power vested in me, I now pronounce you ______ and ______.",2
"Choosy moms choose ______.",1
"Closed captioning brought to you by ______",1
"Cover your ______ when you cough!",1
"Damn it, Jim! I'm a ______, not a ______.",2
"Danger! ______ ahead!",1
"Dat ______ doe!",1
"Dealing with Time Warner Cable is like ______ pulling the teeth out of ______.",2
"Disney presents ______ on ice!",1
"Do you have your ticket? Because the ______ train is about to pull out.",1
"Do you know why I pulled you over?",1
"Doctors agree. ______ twice a day will keep you healthy.",1
"Doesn't anyone else see ______?",1
"Don't hate ______, hate the game.",1
"Don't mind me, I'm just ______.",1
"Don't push me, I'll go all ______ on you!",1
"Drop the kids off, call in sick, then hurry home to enjoy ______.",1
"During my at Hogwarts, I discovered my Patronus was ______.",1
"During my fourth year at Hogwarts, I discovered my Patronus was ______.",1
"Even though I say not to, my friend gets me ______ every time for my birthday.",1
"Ever since ""The Incident,"" every time I close my eyes, I see ______.",1
"Everyone knew shit was going downhill when ______ pulled ______ out of their ass.",2
"Excuse me. You're standing on my ______.",1
"Faster than light travel, powered by ______.",1
"Favorite ethnic food: ______.",1
"Fifteen minutes could save you fifteen percent or more on ______.",1
"Fish tacos with ______ and cheese.",1
"For a headache, take 2 ______ and apply ______ directly to your forehead.",2
"For only 25 cents a day, you can provide a child in Africa with ______.",1
"Found in Rush Limbaugh's nightstand",1
"Fox News is to ______ as ______ is to ______",3
"Frankly my dear, I don't give a ______.",1
"Genius is 10% inspiration and 90% ______.",1
"Get rich quick with ______.",1
"Give me all your ______!",1
"Give me liberty or give me ______.",1
"Go Go Gadget ______!!!",1
"Grandma always said ______ will make you go blind.",1
"Guess you guys aren't ready for ______ yet. But ______ is/are going to love it.",2
"Hakuna Matata, it means ______.",1
"He sees you when you're sleeping. He knows when you're awake. He knows when you've been ______. So be good for goodness sake.",1
"Heroin: a proud supporter of ______.",1
"Hey Rocky!, Watch me pull a ______ out of my ______.",2
"Hillary Clinton's presidential campaign ended in disaster after announcing her running mate ______.",1
"His face could only be improved by ______.",1
"His hair plugs are crafted from the finest ______.",1
"How do you get out of awkward situations?",1
"I ain't sayin' she's a gold digger, but she ain't messin' with ______.",1
"I always call in sick to work when I have a bad case of ______.",1
"I can deal with almost anything. Except ______; that's a dealbreaker.",1
"I can drive and ______ and ______ at the same time.",2
"I can lick ______ all day.",1
"I can't believe it's not ______.",1
"I can't believe we spent six months on ______.",1
"I carry a picture of ______ with me at all times.",1
"I dropped my dog off at the pound and picked up ______.",1
"I got a fever and the only cure is more ______.",1
"I got that bitch a ______. Bitches LOVE (repeat).",1
"I got to eat all (the) ______ I wanted after I got my ______ taken out.",2
"I had no idea you could milk ______.",1
"I hope they bury me with a ______ in my coffin",1
"I learned the hard way; you can't sneak ______ into prison.",1
