text,blanks
"but hates ______.",1
"from ______.",1
"Hello, I\'m from the church of ______. Do you have a moment to",1
"I can\'t have ______ so I\'m settling for ______.",2
"If you ask me, ______ will never be as gay as ______.",2
"If you had a time machine what would you go back and eliminate?",1
"It\'s time that we introduced ______ to ______.",2
"I\'m Johnny Knoxville and this is ______.",1
"I\'m not going to lie. I despise ______ because of ______.",2
"I\'d pay the hundred bucks to see ______ vs. ______ on",2
"I\'d rather be ______ than ______ when Judgment Day comes.",2
"I\'ve learned over time that my significant other loves ______",1
"Mom swears I was conceived from ______, but Dad says it was",1
"My cable\'s out so I\'m ______.",1
"On a scale from ______ to ______ how would you rate your",2
pain?,1
pay-per-view.,1
"Problem: ______. Solution: ______.",2
"showed up.",1
"talk about ______?",1
"That awkward moment when you realize you\'re right between",1
"The party went from ______ to ______ when ______",3
"The road to hell begins with ______ and ends with ______.",2
"This workplace has gone 0 days without ______.",1
"To start a riot all you need is ______ and ______.",2
"What is the only known weakness of Chuck Norris?",1
"What\'s that smell?",1
"What\'s your fondest childhood memory?",1
"Whitney Houston will always love ______.",1
"You know what\'s stupid?",1
"______ + ______ = my idea of a good time.",2
"______ = going to heaven. ______ = going to hell.",2
"______ and ______.",2
"______ will never be possible due to ______.",2
"______ would be much better without ______.",2
